series_id,series_name,brand_name,sub_brand_name,min_price,max_price,count,rank
20154,星愿,吉利银河,吉利银河,6.48,9.48,446119,1
4499,五菱宏光MINIEV,五菱汽车,上汽通用五菱,3.58,5.28,443981,2
4363,Model Y,特斯拉,特斯拉中国,26.35,31.35,421344,3
5952,海鸥,比亚迪,比亚迪,6.68,8.28,341403,4
1145,轩逸,日产,东风日产,6.19,12.99,333308,5
393,朗逸,大众,上汽大众,7.1,11.29,287903,6
6187,小米SU7,小米汽车,小米汽车,21.59,29.99,272856,7
4857,星越L,吉利汽车,吉利汽车,12.97,16.67,265082,8
4802,秦PLUS DM,比亚迪,比亚迪,6.98,9.38,263989,9
414,速腾,大众,一汽-大众,8.49,13.19,260154,10
398,帕萨特,大众,上汽大众,13.85,28.38,238523,11
6025,博越L,吉利汽车,吉利汽车,9.29,13.77,227711,12
546,RAV4荣放,丰田,一汽丰田,12.13,21.08,219818,13
9796,秦L DM,比亚迪,比亚迪,8.98,14.38,213166,14
404,途观L,大众,上汽大众,13.78,22.58,210010,15
535,凯美瑞,丰田,广汽丰田,13.38,22.18,206178,16
415,迈腾,大众,一汽-大众,12.29,21.69,202441,17
2794,瑞虎8,奇瑞,奇瑞汽车,7.99,12.29,193600,18
3762,Model 3,特斯拉,特斯拉中国,23.55,33.95,193438,19
3196,长安CS75 PLUS,长安,长安汽车,8.99,13.49,191062,20
9689,元UP,比亚迪,比亚迪,7.48,10.98,189063,21
3504,宋Pro DM,比亚迪,比亚迪,8.98,12.78,187673,22
5382,卡罗拉锐放,丰田,一汽丰田,9.48,14.98,186394,23
9824,海豹06DM,比亚迪,比亚迪,9.18,13.18,183950,24
5845,理想L6,理想汽车,理想汽车,24.98,26.98,181609,25
10170,小鹏MONA M03,小鹏汽车,小鹏汽车,11.98,13.98,178844,26
2835,探岳,大众,一汽-大众,13.39,20.49,177973,27
280,本田CR-V,本田,东风本田,12.99,20.79,175022,28
5369,锋兰达,丰田,广汽丰田,8.68,14.68,173496,29
1455,逸动,长安,长安汽车,5.29,8.49,172911,30
99,奥迪A6L,奥迪,一汽奥迪,29.95,49.26,170321,31
5859,长安Lumin,长安启源,长安启源,3.59,6.19,169615,32
6148,熊猫,吉利银河,吉利银河,2.89,4.69,168384,33
6132,红旗H5,红旗,一汽红旗,11.48,17.08,162029,34
5008,海豚,比亚迪,比亚迪,8.38,11.78,159582,35
6266,五菱缤果,五菱汽车,上汽通用五菱,5.18,8.48,158955,36
289,雅阁,本田,广汽本田,12.98,18.88,158300,37
145,宝马3系,宝马,华晨宝马,21.09,31.99,155982,38
4563,哈弗大狗,哈弗,长城汽车,9.09,12.49,155832,39
2836,途岳,大众,上汽大众,7.99,16.49,154202,40
5248,元PLUS,比亚迪,比亚迪,10.38,13.98,151849,41
5852,艾瑞泽8,奇瑞,奇瑞汽车,8.99,12.89,151610,42
3476,星瑞,吉利汽车,吉利汽车,8.97,13.67,151189,43
20012,宋L DM,比亚迪,比亚迪,11.98,15.68,144751,44
2916,奥迪Q5L,奥迪,一汽奥迪,25.19,30.95,135844,45
9307,零跑C10,零跑汽车,零跑汽车,11.18,15.18,135512,46
214,奔驰E级,奔驰,北京奔驰,32.18,50.98,134436,47
24788,银河星舰7 EM-i,吉利银河,吉利银河,8.78,12.38,133860,48
216,奔驰GLC,奔驰,北京奔驰,29.78,42.53,133355,49
24850,问界M8,AITO,赛力斯汽车,35.98,44.98,133297,50
352,昂科威,别克,上汽通用别克,16.59,19.59,132346,51
4865,宋PLUS DM,比亚迪,比亚迪,11.58,16.18,128983,52
10026,银河E5,吉利银河,吉利银河,9.28,17.98,128226,53
2975,缤越,吉利汽车,吉利汽车,5.98,8.78,128215,54
212,奔驰C级,奔驰,北京奔驰,21.48,31.41,126693,55
4079,皓影,本田,广汽本田,14.59,21.89,125960,56
3068,亚洲龙,丰田,一汽丰田,12.88,20.68,124775,57
6325,问界M9,AITO,赛力斯汽车,46.98,58.98,123827,58
4172,威兰达,丰田,广汽丰田,12.98,22.08,122797,59
4899,秦PLUS EV,比亚迪,比亚迪,8.98,16.38,117198,60
8956,奔腾小马,奔腾,一汽奔腾,2.99,4.89,116880,61
733,帝豪,吉利汽车,吉利汽车,4.89,11.98,115888,62
20041,小米YU7,小米汽车,小米汽车,25.35,32.99,114584,63
146,宝马5系,宝马,华晨宝马,32.0,40.6,113994,64
1938,捷途X70,捷途,奇瑞汽车,8.69,12.99,110172,65
4540,宋PLUS EV,比亚迪,比亚迪,13.48,18.08,106813,66
5820,问界M7,AITO,赛力斯汽车,24.98,37.98,102474,67
542,卡罗拉,丰田,一汽丰田,7.58,11.68,101621,68
4731,零跑C11,零跑汽车,零跑汽车,12.88,18.58,101305,69
25137,海豹05DM,比亚迪,比亚迪,7.18,9.58,99137,70
10213,深蓝S05,深蓝汽车,深蓝汽车,11.29,14.59,99043,71
649,哈弗H6,哈弗,长城汽车,7.19,12.19,98936,72
1150,逍客,日产,东风日产,8.98,15.09,93908,73
5290,驱逐舰05,比亚迪,比亚迪,6.98,12.18,92192,74
5223,赛那,丰田,广汽丰田,26.08,35.48,90317,75
10180,智界R7,智界,奇瑞汽车,24.98,33.98,88161,76
6173,理想L7,理想汽车,理想汽车,30.18,35.98,87724,77
9683,长安X5 PLUS,长安,长安汽车,5.99,8.39,87599,78
3041,荣威i5,荣威,上汽集团,4.49,10.18,87349,79
3159,红旗HS5,红旗,一汽红旗,14.18,17.88,87146,80
5843,腾势D9 DM,腾势,腾势汽车,30.98,45.98,86019,81
4228,汉DM,比亚迪,比亚迪,14.88,20.58,84758,82
409,宝来,大众,一汽-大众,7.29,10.39,83977,83
25139,海狮05EV,比亚迪,比亚迪,11.78,13.78,83512,84
96,奥迪A4L,奥迪,一汽奥迪,19.8,25.25,82646,85
2812,宝马X3,宝马,华晨宝马,29.99,39.99,81442,86
9761,小鹏P7+,小鹏汽车,小鹏汽车,18.68,20.88,80643,87
4814,AION Y,埃安,广汽埃安新能源,9.18,12.78,80560,88
10125,零跑C16,零跑汽车,零跑汽车,14.18,17.58,80116,89
9113,哈弗猛龙PHEV,哈弗,长城汽车,14.58,18.88,79710,90
3192,五菱宏光V,五菱汽车,上汽通用五菱,4.48,5.28,78559,91
9651,长安UNI-Z PHEV,长安,长安汽车,10.29,11.89,76994,92
536,汉兰达,丰田,广汽丰田,18.98,28.98,75755,93
311,唐DM,比亚迪,比亚迪,15.68,19.98,75641,94
5924,岚图梦想家 PHEV,岚图,岚图汽车,32.99,70.99,75560,95
25400,海狮06EV,比亚迪,比亚迪,14.38,16.38,75209,96
5563,捷途旅行者,捷途,奇瑞汽车,10.99,20.99,74907,97
6027,深蓝S07,深蓝汽车,深蓝汽车,14.69,17.19,73422,98
5858,格瑞维亚,丰田,一汽丰田,23.28,35.48,71733,99
5273,宝马X5,宝马,华晨宝马,55.3,77.5,71521,100
1621,传祺GS3,广汽传祺,广汽传祺,6.38,8.88,70021,101
9833,乐道L60,乐道,蔚来,20.69,25.59,69845,102
9778,ZEEKR 7X,极氪,极氪,22.98,26.99,68795,103
